post_id	text	date
1	https://vk.com/keratintrissolamgn Повторное кератирование и накопительный эффект для Юли💆💎💁  составом  ⭐️ПРЕМИУМ⭐️ класса Trissola True💎 ✅без запаха  ✅не требует времени выдержки  ✅отличный результат: прямые, послушные и блестящие волосы  📢 СПЕШИТЕ ЗАПИСАТЬСЯ СО СКИДКОЙ 25%📢  📲Vaiber,WhatsApp,ЛС +79634789111 🚘 возможен выезд на дом.	2016-05-27 09:23:54
2	⚠️Если уж кератин, то TRISSOLA! Почему?  ✅Trissola –это новейшая разработка в сфере кератинового выпрямления волос Американского производителя Envy Professional.  ✅Преимущества Trissola True: ➕Без едкого запаха ➕Не содержит вредных компонентов ➕Мгновенный результат ➕Увеличивает плотность волоса ➕Сохраняет обьем ➕Выпрямляет мелкие кудри  ➕Долговременный эффект 3-6 месяцев  📢 СПЕШИТЕ ЗАПИСАТЬСЯ СО СКИДКОЙ 25%📢  📲Vaiber,WhatsApp,ЛС +79634789111 🚘 возможен выезд на дом.  https://vk.com/keratintrissolamgn	2016-05-28 09:07:21
3	https://vk.com/keratintrissolamgn Кератиновое восстановление для Даны 👸🏼 составом  ⭐️ПРЕМИУМ⭐️ класса Trissola True💎  📢 СПЕШИТЕ ЗАПИСАТЬСЯ СО СКИДКОЙ 25%📢  📲Vaiber,WhatsApp,ЛС +79634789111 🚘 возможен выезд на дом.	2016-05-27 09:25:14
4	Тим,дай сфоткаю,нееееет 🙈 #тимошику1_5 #тимасына #сладкиймальчик 🍓🍭😘	2016-05-25 23:30:17
5	А мы тусить 😜 к любимой Розуле на др @rozaliia61 💋🎉💋🎉	2016-05-23 13:27:44
6	Тима #чемпион 🏆🏅#чемпионатползунков2016  @ Romazan Ice Sports Palace	2016-05-16 20:37:46
7	🎠🎡🍭 #тимошику1_5	2016-05-16 16:39:04
8	Кератиновое восстановление Trissola💎 для Розочки и её длиннющих и густющих волос 💆😉  ✅Мгновенный результат👍👍👍 ✅Без едкого запаха😊😊😊 ✅Не содержит вредных компонентов☁☁☁ ✅Увеличивает плотность волоса ✅Сохраняет объем ✅Выпрямляет мелкие кудри на 80% ✅Долговременный эффект 3-6 месяцев😍😍😍 ✅Подходит для любого типа волос.	2016-05-14 23:53:09
9	Рулил исключено одной рукой🤘😄 #тимасына #тимошику1_5 #деловухамоя 😎😘	2016-05-10 21:25:37
10	Девочки уже завтра розыгрыш🎉 И три призовых места✅✅✅ Кто не успел вступаем и делаем репост https://vk.com/wall-94883463_3187 Удачи 😉✨	2016-05-10 10:04:16
11	Кератиновое выпрямление волос! Состав премиум класса Trissola true! Не надо ждать 72 часа, сразу можно закалывать, забирать в хвост 😍👏 https://vk.com/keratintrissolamgn	2016-05-05 05:14:24
12	"#банное #красота 🐝🐛🌤 #тимасына #тимошику1_5 💛 @ Глц ""Банное"""	2016-05-04 09:46:10
13	Кератиновое выпрямление(восстановление)на составе Trissola💎💎💎 Для прекрасной Дианы и её шикарных волос👸🏼✨	2016-05-03 07:45:36
14	#спокойнойночи 😴👼 зайки спать а мамы тусить 💃👯👭🎉 @ Озеро Банное, Башкирия	2016-05-01 20:11:28
15	#доброеутро ☀️ #тимошику1_4 💙	2016-04-26 09:28:05
16	Девочки и мальчики 😄✌️ Вступаем в мою группу👸🏼 Сейчас действует акция и розыгрыш 📢 https://vk.com/keratintrissolamgn Розыгрыши постараюсь проводить регулярно так что не пропустите☝️😉	2016-04-25 10:43:08
17	#тимошику1_4 #папасын @chupa__chucksin 💞😘	2016-04-24 16:33:56
18	#свербнымвоскресеньем 🕌🙏	2016-04-24 16:26:57
19	"💥НОВИНКА от Trissola!!!💥 ""FOREVER ENDS"" — Здоровые кончики навсегда! Эффект от процедуры: 1️⃣ Устранение сечености и ломкости волос до 80% за одну процедуру ✂️⭕️ 2️⃣ Восстановление и реконструкция кончиков💁 3️⃣ Наполнение блеском💎 4️⃣ Легкое расчесывание☝️ 5️⃣ Быстрое отрастание длины волос💇🙅 6️⃣ Накопительный эффект — с каждой последующей процедурой концы плотнее запечатываются. 7️⃣ Экстракты Таволги, Морских водорослей, плодов Ягоды Асаи, увлажняют, омоложивают и смягчают волосы.🌱🎍🐚"	2016-04-22 08:16:19
20	Он наааааш!!!!! 🏆#металлургчемпион ❤️ @ Магнитогорск	2016-04-19 22:06:42
21	💎Кератиновое выпрямление волос составом ⭐️ПРЕМИУМ⭐️ класса Trissola True💎 ✅без запаха  ✅не требует времени выдержки  ✅отличный результат: прямые, послушные и блестящие волосы  📲Vaiber,WhatsApp,ЛС +79634789111 Юля 🚘 возможен выезд на дом.	2016-04-17 08:23:01
22	🙆Сухие, непослушные, пушистые волосы...Знакомо? Позаботьтесь о своих волосах... КЕРАТИНОВОЕ ВЫПРЯМЛЕНИЕ избавит Вас от этих проблем... Прямые, гладкие, блестящие, шелковистые, послушные волосы ... Никаких проблем с расчесыванием...  😍Волосы устойчивы к воздействию дождя и влаги...🌧⛈  на укладку Вам понадобится всего 5️⃣-1️⃣0️⃣минут...💁 утюжок больше не понадобится 👍  Записываемся на апрель ещё с 20% скидкой📢 мест осталось чуть чуть❗️  Напоминаю что я смогу приехать к вам,и навести красоту прямо у вас дома🚘 📲WhatsApp/Viber 8(963)478 9111	2016-04-15 07:39:34
23		2016-04-13 08:26:54
24	"☝️☝☝ВАЖНО☝☝☝  ⁉️""Достаточно ли одной процедуры, для получения идеально прямых волос?""  ✅Будут ли ваши волосы идеально прямыми за 1 процедуру, напрямую зависит от их изначального состояния.   ✅Выпрямление завитка за одну процедуру происходит в среднем на 60-80%. Если ваши волосы очень кудрявые, то после процедуры будет наблюдаться эффект естественной волнистости.   ✅Если ваши волосы изначально не сильно кудрявые, то после процедуры они станут натурально прямыми.  ✅Если же ваши волосы электризуются, то после процедуры вы полностью избавитесь от этого.  ✅Эффект от кератинового выпрямления волос можно увеличить, если сделать коррекцию в течение следующих 2-3 месяцев, так как данная процедура обладает накопительным действием."	2016-04-13 07:45:41
25	Кератиновое восстановление составом класса Luxe Trissola 💎 Для нашей красоточки👸🎀 Сезон красивых волос открыт✨ Записываемся девочки 📝 в ЛС или по тел 89634789111 WhatsApp,Vaiber📲 Возможен выезд на дом🚘	2016-04-11 06:35:36
26	Сегодня пол дня провели в двоем👫нагулялись,насмеялись 😂 вроде бы я не такая уж и старая👵🏻😩но блииин он такой взрослый🤔🙈 #старшийсын #степашка #любовьмоя 💞	2016-04-10 15:37:55
