post_id	text	date
1	Что нас объединяет? 1) мы блондинки👸🏼;2) мы все родились под знаком ♎️;3) живущие в наших головах таракашки нашли общий язык🐜😜; 4) мы очень любим и поддерживаем друг друга уже очень много лет😘🤗😍👍🏼#весы♎️#триблондинкиэтосила💪🏼#ксюшаленанадя#моилюбимые#моидевочки#	2016-05-28 08:41:47
2	Я конечно спою вам песню, прочитаю стихи. Моя Любовь к вам искренняя, душевная. Она не похожа на то, что объединяет природа в разнополых людях. Мы похожи, мы рядом, мы чувствуем, что нам это нужно и будем все это Любить и ценить❤️#моилюдисомной#моидевочки#моилюбимые#ксюшаленанадя#триблондинкиэтосила💪🏼#весы♎️#	2016-05-28 08:33:26
3	Наша пятница👯💃🏼👭#моилюбимые#моидевочки#моилюдисомной#моикрасотки😍😍❤#ксюшаленанадя#триблондинкиэтосила#роликирулят#экопарк#	2016-05-28 07:31:55
4	❤мои❤️#моялюбовь#моясемья#мояжизнь#моямой#моябесконечность#крошкамоя#всёмоёмоёвсё#	2016-05-25 14:33:39
5	Родная моя девочка👩‍❤️‍💋‍👩 поздравляю тебя с днём рождения!🎉🎉🎉 я рада, что у меня есть такая сестрёнка как ты! Ты мой Чип, который всегда придёт мне на помощь🐹 желаю тебе здоровья👷🏻, радости💃🏼💃🏼💃🏼, улыбок😀😀😀, денежек побольше💵💴💶💷💰💳💎, семейного тепла👨‍👩‍👧‍👦. Я тебя очень люблю❤️😍💋	2016-05-24 07:56:55
6	Моя Саня👸🏼 Милая С днем рождения тебя!Как же я рада,что мы уже 7 лет вместе) Ты замечательный человек, желаю тебе радости и смеха, здоровья и любви. Пусть в этой жизни у тебя всё получается так как ты хочешь, а рядом только будут любящие и верные друзья! Люблю тебя❤️😘💃🏼#мояподружайка#сднемрождениясаня🎉#ксюшасаша💜#	2016-05-22 09:58:21
7	Моя Булочка сладкая😍💋#девочкитакиедевочки#селфитайм#крошкамоя#дашулякрасотуля🎀#	2016-05-16 10:17:40
8	И тут ждём 💃🏼#девочкитакиедевочки#джагаджага💃#селфитайм#	2016-05-16 10:14:24
9	Ждём 💃🏼💃🏼💃🏼#джагаджага💃#селфитайм#девочкитакиедевочки#	2016-05-16 10:12:44
10	Пятница 13 😈#девочкитакиедевочки#селфитайм#джагаджага💃#	2016-05-16 10:11:19
11	Быть рядом с тобою за каменной стеною, Быть рядом, быть вместе, без зависти и лести.  Быть рядом с тобою и слышать шум прибоя,  Быть рядом, быть вместе с тобой#моймоя#немогубезтебя#мужижена#любовь❤️#	2016-05-15 08:50:31
12	Моя Надин😘#9маяденьпобеды#тылфронту#бессмертныйполк#	2016-05-09 14:58:24
