post_id	text	date
1	Отвыступали)) завтра еще кубок.... 🏆💃🏼💃🏼💃🏼💃🏼#кира#моягордость#вредина и я	2016-05-28 15:48:55
2	Не пуха не пера нам сегодня!!))) #кира# танцы#отчетныйконцерт#	2016-05-28 10:59:51
3	Моя обезьянка))) #кира#май #люблю#	2016-05-26 10:57:08
4	Просто я..... #наташка#	2016-05-21 19:53:37
5	Как же я люблю солнце)))☀️☀️☀️☀️☀️🌞🌞#безфильтра#май#	2016-05-18 09:58:41
6	Девочка с конем))	2016-05-12 08:00:39
7	День Победы!!!!! Папина пилотка великовата))) ##мыпомним#9мая	2016-05-09 11:37:33
8	Всех с Днём Победы!!!! #9мая#	2016-05-09 10:03:49
9	9 мая в садике празднуют сегодня))#Деньпобеды🎗🎈#Кира#	2016-05-06 07:18:29
10	Батуты пошли вход))) #летонезагорами#прыгатьчтобынезамерзнуть#☀️😬👆🏻👇🏻	2016-05-04 16:50:01
11	Всех со светлым праздником, с наступающей Пасхой!) #ХВ#1мая# Вот и наши чувства готовы)))) . #впередлентаполнаяяиц#курынезрятрудились#	2016-04-30 20:36:12
12	С вербным воскресеньем..... 🙏🏻	2016-04-24 09:10:35
13	Велосипедный сезон открыт) #мойкирундель#	2016-04-24 09:07:12
14	Енот Ксюша и Кируня)))	2016-04-13 12:51:29
15	Покатай меня большая черепаха))))	2016-04-13 12:48:06
16		2016-04-05 15:03:31
17	Ну здравствуй 1 апреля❄️❄️❄️🌧..... Может это розыгрыш???😳😳😳😳🤔#ВЕСНА#НУПОШУТИЛИИХВАТИТ#	2016-04-01 07:27:11
18	Тебе скучно? Сделай сердце из волос))) # малифисентауженета#сердцеизволос#	2016-03-18 13:16:42
19	Девочки всех с праздником весны!!!! #тюльпашки#у#наташки#8марта#	2016-03-08 09:49:34
20	Ну зима , до новых встреч))) Весна, я рада тебе!!!! ☀️☀️☀️🌼🌿🌿🌿	2016-02-29 19:46:04
21		2016-02-18 16:23:41
22	Наездница))	2016-02-06 15:56:25
23	🌲🌲🏂🌲🌲)))	2016-02-04 13:36:35
24	Погода сегодня суперрр!))	2016-01-31 15:45:17
25	Сегодня нагулялись вдоволь!)) накатались, налепились, навалялись!))) #зима#снег#кира#розовыещеки# @ Парк Металлургов	2016-01-30 14:21:57
26	Немножко покатались) немножко замёрзли)) зима#деткиконфетки#	2016-01-16 17:03:27
27	Всех со старым Новым годом!))) #пустьмечтысбываются✨	2016-01-13 22:07:00
28	Всех, всех с наступающим Рождеством!!!! Счастья вам, здоровья и всего хорошего вашим семьям!!!🙏🏻😊🍸💗❤️💗#мойвечер #РОЖДЕСТВО#	2016-01-06 16:49:43
29	Ещё одна елка в орджо)) Кира наплясалась !))) #новыйгод#канткулы#доча#	2016-01-05 16:26:53
30	Вот оно, новогоднее счастье)))) безфильтра#кира#горыпони#4январЯ	2016-01-04 19:07:46
31	Всех с наступающим Новым годом!!!!! 🎄🎄🎄🎄🎉🎉😸	2015-12-30 19:42:26
32		2015-12-22 09:25:35
33	Приехали домой, с первым выступлением моя конфета!! Возможно это начало большого пути)))) #некст #КИРА#ТАНЦЫ#🎉🎉🎉🎉	2015-12-19 17:22:00
34	Собрались на наше первое выступление)) #некст#⭐️⭐️⭐️💃🏼✊🏻😘😀	2015-12-19 11:51:26
35	Первый кулёк)) #скороновыйгод# и наш новый костюм для танцев))	2015-12-16 19:24:56
