и	883
категорие	762
ди	626
the	452
мокшень	437
тъналста	388
касыкссь	381
панчф	364
тя	358
орхидея	358
сонь	347
эзда	341
мархта	322
аф	322
to	318
сон	316
кизоня	312
к	292
меле	287
эди	287
лама	263
а	255
васьфневихть	254
синь	242
вид	239
калопне	236
оцю	234
це	232
кода	226
коряс	225
эса	214
колга	202
and	185
пяк	182
кунардонь	181
user	178
ащи	178
в	175
1	170
wikimedia	166
велесь	164
сяда	163
сембе	160
фкясь	159
on	158
of	156
мордовиянь	152
эсь	152
for	148
you	144
кяль	140
фкя	139
ульсь	137
кона	137
a	136
is	135
од	135
сире	132
мокша	132
масторса	131
п	128
2	126
масторонь	125
2015	124
this	122
рузонь	121
in	120
мордовия	118
саранск	117
васенце	113
пингста	111
эли	110
foundation	109
л	108
кяльса	107
сембода	107
лангс	106
содаф	106
америкса	106
ошсь	104
10	103
н	102
elections	100
кафта	100
m	99
мордвась	98
utc	95
эрь	94
ули	93
2006	92
ломатть	92
пряошец	91
4	91
эрзянь	89
иля	88
районца	88
конат	88
сидеста	88
коса	88
м	88
конань	87
are	87
шачсь	86
велеса	86
be	86
кяльвалсь	86
суоми	85
лемоц	85
кяльхнень	84
кизонь	83
аньцек	83
илякс	82
тага	81
азиеса	80
башка	80
5	80
your	79
тяфтама	77
ульсть	77
энциклопедия	77
кизоста	76
3	76
тяниень	75
special	75
i	74
we	74
лия	73
тяфта	73
ломань	72
мастор	71
лангса	71
that	70
mylanguage	70
улихть	70
сяс	70
сёрмадсь	70
can	70
велеть	69
пингть	68
лямбеширень	68
сявомок	67
инголе	67
што	67
20	67
велень	67
с	66
пялевень	66
мзярда	65
кизотнень	65
if	64
пингонь	63
веле	62
рузмасторонь	62
ширеса	62
республикса	62
кой	62
will	61
масторсь	60
ёткса	60
it	60
ся	59
или	58
конась	58
сась	58
эряма	57
эряйхть	57
ош	56
полень	56
озкс	56
райононь	55
кяльсь	55
please	55
ляйть	55
пара	54
вастса	54
вельде	54
лямбе	53
ине	53
тяса	53
кк	53
ёмла	52
лаца	51
message	51
арась	51
тиендсть	51
инь	50
ляй	50
community	50
эряфонь	49
мокшетнень	49
цебярь	49
колма	49
12	49
have	49
моли	48
8	48
эрямопингонь	48
пензань	48
as	48
тянь	47
омбоце	47
тяда	47
ломаттнень	47
wmf	47
тяни	47
ня	47
лемса	47
7	46
ломанень	46
масторть	45
or	45
эряйхне	44
15	44
калконь	44
кодама	43
help	43
board	43
корхнихть	43
нь	43
30	42
теенза	42
интай	42
ушетфоль	42
акша	42
6	42
кучка	41
ломаттне	41
мес	41
ширде	41
якстерь	41
явропонь	41
мъзярда	41
латинонь	41
кяльхне	41
ни	40
шистяма	40
with	40
зубунь	40
штоба	40
сувсихть	39
но	39
африкса	39
тонадомань	39
from	39
free	39
16	39
илань	39
шаблотт	39
ингольдень	39
угронь	38
лиссь	38
эряви	38
english	38
мярьгихть	38
сотксонь	38
эряйда	38
кельме	38
19	38
район	38
кувака	37
кялень	37
ашезь	37
сёрмадысь	37
fdc	37
пря	37
конатнень	37
committee	37
мяль	37
ал	36
ваксса	36
мордовскяй	36
жа	36
тоса	36
bassel	36
велетнень	36
ниле	35
translate	35
вайгяльбет	35
советонь	35
wikipedia	35
аймакса	35
ошне	35
18	35
седямань	35
казьф	35
all	34
сянь	34
васта	34
шары	34
ломанць	34
финно	34
тиф	34
ала	34
talk	33
ошса	33
нинге	33
more	33
кудонь	33
васьфневи	33
шивалгомширеса	33
about	33
s	33
9	33
сявф	33
т	33
13	32
шачема	32
25	32
шистямаширень	32
масторхнень	32
banner	32
мокшет	31
000	31
wiki	31
at	31
language	31
мъзярошка	31
17	31
орозаень	31
ошень	31
ушедсь	31
шиня	31
21	31
тяштсь	31
касы	31
шивалгом	31
киц	31
кувалмоц	31
стане	31
эряй	30
mediawiki	30
няеви	30
кяльста	30
содайсь	30
мордовияса	30
кда	30
ина	30
минь	29
марстонь	29
атянь	29
bot	29
сери	29
сёрмады	29
page	29
малады	29
лемсь	29
шуфтонь	28
ила	28
тиись	28
явропса	28
на	28
шинь	28
майнов	28
11	28
2005	28
мокшетне	27
шить	27
кудса	27
суоминь	27
2010	27
лац	27
ошть	27
эста	27
инкса	27
покодсь	27
губерниянь	27
иван	27
коське	27
by	27
project	27
океаниеса	27
has	27
metawiki	26
22	26
тись	26
туркань	26
an	26
америконь	26
коза	26
delivery	26
шка	26
г	26
14	26
тундань	26
2001	26
википедиень	25
тейнза	25
сядокизонь	25
our	25
information	25
мордватнень	25
щамсна	25
up	25
questions	25
there	25
морсесть	25
wikidata	25
кяльть	25
тевс	25
уездонь	25
ф	25
мордвать	25
москувонь	25
кизот	25
рузмасторса	25
сядокизоста	25
масторлангонь	25
50	25
пялешинь	25
вяри	25
омба	25
ащихть	24
ки	24
тонафнема	24
угрань	24
лувови	24
алхт	24
2008	24
районць	24
2007	24
орденца	24
районть	24
равжа	24
вяре	24
лишмонь	24
арьсесть	24
аймак	24
n	24
нюрьхкяня	24
support	24
пинге	23
эрзятнень	23
new	23
стака	23
васенцеда	23
путнесть	23
модань	23
вастова	23
германонь	23
кучфтемат	23
тов	23
эрямопингсь	23
корхтайхть	23
куду	23
мокшэрзятнень	23
дубасов	23
кши	23
томса	23
вастс	23
маластонь	23
википедие	22
ши	22
самс	22
xix	22
кизоса	22
ащесь	22
кепотьксонди	22
тъналса	22
вастт	22
28	22
эрясь	22
100	22
масторкитьксонза	22
валть	22
аш	22
meta	22
сай	22
марса	22
may	22
келеса	22
австралиеса	21
инголи	21
мазы	21
руснень	21
ётась	21
петерсон	21
26	21
да	21
киза	21
мельге	21
00	21
кельмеширень	21
шуфта	21
ведь	21
лемс	21
request	21
метрашка	21
here	21
тевонь	21
модать	21
эрямопингоц	21
республик	21
зирняйрясь	21
тяка	21
марнек	21
лопась	21
аватне	21
виде	21
я	20
voting	20
народнай	20
23	20
россиянь	20
вад	20
мокшэрзянь	20
греконь	20
сокай	20
ауновский	20
ётазь	20
васттнень	20
аймаконь	20
сонць	20
республиксь	20
афольхть	20
эрявикс	20
моску	20
лувондовсь	20
c	20
валда	20
24	20
grants	20
нолдафоль	20
тонафнесь	20
кальдяв	20
ляйса	20
венгеронь	20
москуса	20
1980	19
ломанть	19
29	19
эрясть	19
like	19
60	19
ушеширень	19
ваксс	19
литературонь	19
коре	19
2000	19
апак	19
михаил	19
policy	19
университетонь	19
шкай	19
улема	19
эрзятне	19
сь	19
тяште	19
вярдень	19
1960	19
ведьса	19
also	19
мала	19
тамбовскяй	19
2012	19
1930	19
ломаньётконь	18
пензенскяй	18
ушетксста	18
аймакть	18
кяльти	18
сисем	18
trustees	18
massmessages	18
вастсь	18
central	18
мода	18
мокшэрзятне	18
д	18
how	18
пуромксонь	18
векть	18
прянц	18
кармась	18
now	18
сантиметрашка	18
1869	18
кал	18
лишмось	18
покась	18
види	18
кулоф	18
каршес	18
николай	18
27	18
покаманза	18
лемонц	18
70	18
энциклопедиясь	18
республикть	18
кимиень	18
вайгяльбе	18
тъналонь	18
xvii	18
тюремань	18
фольклоронь	18
авань	18
маласа	18
касыкс	18
коста	18
тусь	18
пиче	18
ламоц	17
очижинь	17
балтонь	17
лацонь	17
михайила	17
лашмонь	17
серец	17
краснослободскяй	17
куд	17
ломаньтъналонь	17
журналса	17
азонды	17
иняру	17
мезе	17
us	17
пинкнень	17
якасть	17
1971	17
оцюняц	17
available	17
вии	17
ковсь	17
састь	17
1958	17
песта	17
ask	17
лемста	17
вастоц	17
лем	17
аделазе	17
путфоль	17
томсь	17
этнографиень	17
pages	17
get	17
видеса	17
1917	16
арабонь	16
валморайсь	16
links	16
славянонь	16
смирнов	16
модаса	16
2002	16
phase	16
роштувань	16
шкаень	16
1990	16
рузкс	16
википедиесь	16
э	16
ичкозе	16
кизода	16
идель	16
о	16
тиендезь	16
вастть	16
poll	16
китаень	16
мольсь	16
смузьшинь	16
0	16
см	16
валсь	16
покама	16
ланга	16
кит	16
тев	16
ть	16
2013	16
газетаса	16
discussion	16
е	16
шири	16
търваса	16
панда	16
would	16
культурань	16
видиень	16
feedback	16
пенза	16
тонафнемакссь	16
кармай	16
xviii	16
кудста	16
кшнинь	16
ляйсь	16
ашесть	16
туркс	15
аляц	15
тонафтома	15
кодамот	15
1992	15
кучф	15
шись	15
римонь	15
оцюнякс	15
касонды	15
use	15
конац	15
пингс	15
projects	15
кирди	15
сюнеда	15
германие	15
серес	15
содай	15
access	15
thank	15
озкссь	15
being	15
кържа	15
морот	15
республикаса	15
содама	15
курок	15
кинь	15
1941	15
пуре	15
вайгяль	15
ломаттненди	15
шивалгомширень	15
80	15
commons	15
покоди	15
меки	15
мадагаскарса	15
